Latitude,Longitude,Closest City Name,Closest Country Code,Temperature,Humidity,Cloudiness,Wind Speed
72.58000000000197,-22.570000000000157,illoqqortoormiut,gl,31.03,89,0,5.73
-88.77000000000024,-172.32999999999606,vaini,to,-59.33,0,24,13.44
8.85,-22.360000000000163,praia,cv,79.18,100,80,5.06
-20.300000000000207,103.92999999999722,carnarvon,au,73.24,100,0,1.48
0.62,7.79,port-gentil,ga,75.22,100,76,14.79
-76.05000000000277,95.56999999999888,albany,au,-56.36,0,12,14.56
67.0100000000011,122.89999999999942,zhigansk,ru,42.28,85,76,10.65
-23.04000000000015,69.48000000000148,grand river south east,mu,69.55,100,88,23.73
13.73,-78.40000000000231,san andres,co,82.87,95,24,22.62
66.77000000000106,63.530000000000555,yeletskiy,ru,48.76,98,0,2.71
-77.57000000000247,-24.100000000000126,ushuaia,ar,-51.41,0,0,4.72
71.04000000000173,123.46999999999932,zhigansk,ru,38.68,89,32,11.77
36.81999999999985,-22.310000000000166,vila franca do campo,pt,69.91,100,48,18.48
36.13999999999987,-108.4400000000023,farmington,us,88.18,29,64,4.72
74.33000000000224,100.92999999999782,khatanga,ru,35.53,86,48,8.75
-78.72000000000224,-135.58999999999264,rikitea,pf,-26.48,34,0,14.56
70.47000000000163,-27.910000000000046,illoqqortoormiut,gl,28.87,87,12,0.92
2.06,156.01000000000306,namatanai,pg,79.9,100,48,7.96
37.76999999999983,-18.380000000000248,camacha,pt,67.93,100,8,14.67
-54.09999999999908,72.63000000000197,souillac,mu,33.01,100,36,48.34
-52.25999999999879,0.7000000000000001,cape town,za,32.56,100,76,23.73
11.42,-143.01999999999643,hilo,us,80.26,100,92,17.81
-21.240000000000187,90.53999999999989,bengkulu,id,70.45,100,92,8.52
-77.58000000000247,-107.66000000000246,punta arenas,cl,-4.52,65,64,18.7
65.91000000000092,-136.6699999999932,mayo,ca,54.7,98,48,3.38
-19.72000000000022,155.54000000000283,yeppoon,au,74.23,99,88,9.19
-49.69999999999839,11.8,hermanus,za,35.08,100,20,39.06
1.27,122.0699999999996,gorontalo,id,81.07,100,12,6.06
10.93,-106.49000000000268,lazaro cardenas,mx,81.25,100,68,12.44
42.539999999999736,-138.0699999999939,port hardy,ca,59.47,100,0,10.76
-84.31000000000114,151.950000000001,bluff,nz,-36.56,0,0,29.1
-46.36999999999787,-141.25999999999553,rikitea,pf,49.21,96,92,27.76
2.22,-24.37000000000012,bubaque,gw,77.11,100,8,14
40.229999999999784,-78.28000000000233,altoona,us,80.44,51,1,16.11
-59.139999999999866,101.0499999999978,busselton,au,30.85,100,88,15.68
14.16,93.93999999999922,labutta,mm,78.73,100,88,21.27
-76.58000000000267,-143.7599999999968,mataura,pf,-24.95,32,0,12.44
-83.39000000000132,4.25,hermanus,za,-78.05,0,0,19.26
34.7499999999999,100.96999999999781,xining,cn,33.01,85,0,0.47
10.33,-81.84000000000162,bocas del toro,pa,77.11,100,92,10.2
31.24999999999997,100.82999999999785,yaan,cn,45.43,100,92,2.04
-47.679999999998074,-149.1899999999996,mataura,pf,48.67,98,92,36.15
-53.20999999999894,-117.73000000000044,rikitea,pf,43.72,90,92,28.54
-82.17000000000155,-118.35000000000034,punta arenas,cl,-13.07,34,8,19.04
-84.86000000000102,151.52000000000078,bluff,nz,-36.56,0,0,29.1
39.5099999999998,33.50999999999993,keskin,tr,69.55,53,64,5.5
-85.83000000000084,125.71999999999886,new norfolk,au,-58.88,0,20,24.74
-45.21999999999769,121.5199999999997,albany,au,50.2,94,76,22.17
-81.18000000000175,-57.14999999999955,ushuaia,ar,-31.43,0,32,16.46
37.14999999999985,33.08999999999993,karaman,tr,65.59,74,32,2.04
3.38,-178.06999999999903,vaitupu,wf,84.22,100,92,11.54
31.36999999999997,-51.48999999999867,saint george,bm,78.28,100,92,17.13
-76.4000000000027,-114.77000000000103,punta arenas,cl,-9.65,69,64,10.65
10.870000000000001,158.84000000000452,kavieng,pg,84.4,98,76,7.07
10.42,6.91,kaduna,ng,69.91,98,56,4.72
63.15000000000049,14.36,ostersund,se,66.2,72,0,17.22
63.78000000000059,104.20999999999717,vanavara,ru,45.25,58,0,7.63
39.0599999999998,91.29999999999974,hami,cn,34.72,76,0,1.92
-16.130000000000294,4.37,namibe,ao,66.67,100,0,12.55
-84.89000000000101,-84.23000000000116,ushuaia,ar,-34.22,0,0,22.28
-84.34000000000113,-29.640000000000008,ushuaia,ar,-50.87,0,0,23.29
34.809999999999896,-28.49000000000003,ribeira grande,pt,72.97,100,80,20.15
-18.900000000000237,127.85999999999844,kununurra,au,53.8,32,0,11.54
-53.179999999998934,14.36,hermanus,za,29.5,100,92,4.38
35.65999999999988,-113.9800000000012,kingman,us,93.2,30,1,10.29
-26.74000000000007,-23.48000000000014,vila velha,br,65.41,100,12,23.06
63.46000000000054,41.369999999999756,kholmogory,ru,72.34,56,24,6.62
-59.65999999999995,-28.290000000000035,chuy,uy,16.27,88,88,17.47
10.49,159.87000000000506,butaritari,ki,83.95,100,76,5.5
39.569999999999794,-178.7899999999994,provideniya,ru,67.75,100,36,4.5
-88.24000000000035,-112.49000000000149,punta arenas,cl,-57.35,0,24,17.25
-48.86999999999826,-105.76000000000283,castro,cl,44.8,98,68,26.53
-17.530000000000264,33.659999999999926,tete,mz,55.15,95,0,7.18
35.81999999999988,-175.1299999999975,kapaa,us,69.19,100,56,11.1
5.14,-81.66000000000166,la palma,pa,78.1,100,92,13.67
-51.049999999998604,150.2100000000001,hobart,au,41.02,100,44,26.64
2.87,-137.16999999999342,atuona,pf,76.12,100,92,8.19
-87.13000000000056,-26.590000000000074,ushuaia,ar,-66.17,0,0,24.18
-48.07999999999814,-58.0799999999997,rawson,ar,43,97,92,17.02
-88.78000000000024,92.11999999999958,albany,au,-64.55,0,20,15.12
-84.13000000000116,-80.77000000000183,ushuaia,ar,-34.4,0,0,28.1
69.50000000000148,123.40999999999931,zhigansk,ru,41.47,87,0,3.38
-15.48000000000031,154.69000000000239,samarai,pg,77.11,100,88,13
-84.38000000000112,68.83000000000138,taolanaro,mg,-75.08,0,0,15.57
44.0699999999997,-146.8899999999984,kodiak,us,60.64,97,0,12.55
-81.53000000000168,69.50000000000148,taolanaro,mg,-68.15,0,8,17.25
-16.210000000000292,-50.62999999999853,itapirapua,br,80.44,33,0,5.17
37.08999999999985,1.59,medea,dz,77.56,96,100,13.78
4.41,-22.48000000000016,bubaque,gw,77.92,100,100,10.42
64.06000000000063,-118.08000000000038,hay river,ca,64.4,77,40,14.67
-24.580000000000116,-80.4700000000019,taltal,cl,61.18,100,0,20.27
-81.9600000000016,-48.06999999999813,ushuaia,ar,-33.5,0,0,14
-23.750000000000135,-172.209999999996,vaini,to,69.82,100,0,13
1.4000000000000001,9.16,mbini,gq,76.93,100,88,14.23
-45.04999999999767,-76.23000000000275,castro,cl,49.3,99,76,18.48
-85.04000000000099,-58.069999999999695,ushuaia,ar,-34.49,51,64,27.31
3.63,-175.1099999999975,vaitupu,wf,83.23,100,68,13.11
5.76,-144.139999999997,atuona,pf,81.97,100,36,10.2
34.11999999999991,2.9,aflu,dz,102.2,14,20,13.87
10.93,-26.35000000000008,sao filipe,cv,78.82,100,24,5.73
61.16000000000018,164.34000000000734,tilichiki,ru,56.23,97,92,12.66
2.54,-146.7299999999983,atuona,pf,80.35,100,36,11.77
9.0,159.64000000000493,butaritari,ki,84.22,100,88,5.5
-24.100000000000126,-18.230000000000253,jamestown,sh,71.08,99,76,20.27
73.12000000000205,-116.4600000000007,yellowknife,ca,38.05,69,76,24.85
-15.350000000000312,-105.66000000000285,puerto ayora,ec,72.16,100,68,19.26
1.09,-83.53000000000128,manta,ec,74.5,100,64,14.23
64.35000000000068,-86.29000000000073,attawapiskat,ca,52.9,65,0,15.01
-59.59999999999994,160.3100000000053,bluff,nz,32.11,100,76,23.85
-78.72000000000224,7.54,hermanus,za,-67.43,0,8,14.45
0.22,-118.19000000000037,atuona,pf,76.48,100,48,14.23
-54.81999999999919,-47.57999999999806,mar del plata,ar,34.81,97,0,11.77
-89.04000000000019,124.63999999999908,new norfolk,au,-59.87,0,24,10.2
-79.08000000000217,-84.5000000000011,ushuaia,ar,-24.95,64,68,5.17
-17.610000000000262,-145.01999999999745,tautira,pf,79.18,100,12,21.5
-24.30000000000012,-176.2599999999981,vaini,to,68.2,100,0,9.53
64.82000000000076,97.97999999999841,tura,ru,37.15,70,0,6.73
4.73,68.79000000000137,eydhafushi,mv,79.9,100,64,17.81
-22.56000000000016,13.24,henties bay,na,60.73,93,0,15.46
-77.71000000000245,-108.70000000000225,punta arenas,cl,-5.33,67,64,17.13
-49.769999999998404,-49.63999999999838,mar del plata,ar,38.5,96,68,23.62
37.81999999999984,-82.95000000000141,ashland,us,78.8,74,1,4.72
-21.93000000000017,-168.49999999999412,alofi,nu,72.52,100,0,12.21
